location,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Temperature [2 m elevation corrected],Mumbai Temperature [2 m elevation corrected]
20220803T0000,29.278301,26.3183,27.429552
20220804T0000,28.6383,26.858301,27.440382
20220805T0000,27.3783,26.2883,26.78538
20220806T0000,27.3483,25.8683,26.32788
20220807T0000,27.188301,25.9083,26.4683
20220808T0000,27.2983,26.5883,26.833717
20220809T0000,27.018301,25.8083,26.387049
20220810T0000,26.3983,25.1183,25.835386
20220811T0000,26.188301,25.108301,25.68663
20220812T0000,26.018301,25.1583,25.603302
20220813T0000,26.1583,25.0383,25.650797
20220814T0000,26.1583,25.028301,25.657465
20220815T0000,26.9683,25.1283,25.96872
20220816T0000,25.9583,25.3083,25.596634
20220817T0000,25.938301,25.0883,25.541216